rel,dataset_key,doc_category,sub_category,flood_event,doc_type,year,source_format,quality,responsible_dept,doc_nature,location,flood_magnitude,skip_reason,duplicate_of,sha256
06-历年洪水资料/02-2021年洪水调度/10-3洪水/水务局汇报.docx,ds3,洪水资料,2021年洪水调度,2021-10,文本,2021,word,high,水务局,技术,,不适用,,,f4b3a0fea5a0c9475f9e3ad6508bdc233a0dfcabb1179cbe6eeaad6496acc37c
06-历年洪水资料/02-2021年洪水调度/10-3洪水/水务局汇报_dup.docx,ds3,洪水资料,2021年洪水调度,2021-10,文本,2021,word,high,水务局,技术,,不适用,duplicate,,f95a931dd4acfc222129056be204e51445c93e0cb8e3eaab3a088404e5b6bc85
06-历年洪水资料/02-2021年洪水调度/10-3洪水/洪水过程.xls,ds3,洪水资料,2021年洪水调度,2021-10,表格,2021,excel,high,,技术,,不适用,,,4dbb407fd3305072a899a58f543b038e42f3a702a1370dd4bdb9ea8254a10114
06-历年洪水资料/02-2021年洪水调度/10-3洪水/洪水过程_dup.xls,ds3,洪水资料,2021年洪水调度,2021-10,表格,2021,excel,high,,技术,,不适用,duplicate,,6deaf324f1296929f7b5a6adfe0e7e53d6767c8b771b2fc25814338531ce29e6
06-历年洪水资料/02-2021年洪水调度/9-15强降雨工作汇报.doc,ds3,洪水资料,2021年洪水调度,2021-10,文本,2021,word,high,,技术,,不适用,,,00172d2abee09b531b7b64ad5caac51572bc8f3c37675ee9126604bedd67b512
06-历年洪水资料/02-2021年洪水调度/9-25洪水/华商报报道.doc,ds3,洪水资料,2021年洪水调度,2021-09,文本,2021,word,high,,技术,,不适用,,,1aa37fdd0d7d38c4b8967bc5723724ad7c6f3458b72e20b3701b6fcdb5cad4a3
06-历年洪水资料/02-2021年洪水调度/9-25洪水/汛期措施.doc,ds3,洪水资料,2021年洪水调度,2021-09,文本,2021,word,high,,技术,,不适用,,,10b038822818a1830d1f37d5e3b9483dcb895084848f2a4a8ea58f220cb51c2e
06-历年洪水资料/02-2021年洪水调度/9-25洪水/洪水调度情况汇报.doc,ds3,洪水资料,2021年洪水调度,2021-09,文本,2021,word,high,,技术,,不适用,,,1f6275e75a4b4f499949bfdc410d3119d17b870b9a0b4a35be65b7c22333f860
06-历年洪水资料/02-2021年洪水调度/9-25洪水/洪水过程.xls,ds3,洪水资料,2021年洪水调度,2021-09,表格,2021,excel,high,,技术,,不适用,,,712aec922279f7d81c4f3ca36fef50669874be803144c7237a90d95a20a7fed2
06-历年洪水资料/02-2021年洪水调度/9-25洪水/防汛抗洪纪实.doc,ds3,洪水资料,2021年洪水调度,2021-09,文本,2021,word,high,,技术,,不适用,,,9f9ae7a34f6d8e15efba895e6b883324b89fbeddabe0b9e3a23743b1c7acccdb
06-历年洪水资料/02-2021年洪水调度/9-25洪水/防汛抗洪纪实_dup.doc,ds3,洪水资料,2021年洪水调度,2021-09,文本,2021,word,high,,技术,,不适用,duplicate,,9b7d3f0a4963a6de633a657dcdfda2105c9d4a146551c448dd9984b75cd06483
06-历年洪水资料/02-2021年洪水调度/三场洪水调度过程汇报.doc,ds3,洪水资料,2021年洪水调度,2021-10,文本,2021,word,high,,技术,,不适用,,,bddec06d9b1f17c70357f6396e5725426124ceae286cd54e9191c063afb54283
06-历年洪水资料/02-2021年洪水调度/防洪调度效益统计.xlsx,ds3,洪水资料,2021年洪水调度,2021-10,表格,2021,excel,high,,技术,,不适用,,,69c8a7c251f19230bc174d0a95791aed044ed499d7ccd6d21ff813a27c517d27
06-历年洪水资料/03-2020年洪水(8-16)/洪水汇报.doc,ds3,洪水资料,2020年洪水(8-16),2020-8,文本,2020,word,high,,技术,,不适用,,,aa2938b1d9da1c9d8184155852f6ba5071354f8d7563792c693a236d79c72a5d
06-历年洪水资料/03-2020年洪水(8-16)/洪水调度报告.doc,ds3,洪水资料,2020年洪水(8-16),2020-8,文本,2020,word,high,,技术,,不适用,,,74577a189428a125101b44096b8386ca47471347e8a9c753e757ba81c9749aa5
06-历年洪水资料/03-2020年洪水(8-16)/洪水过程.xls,ds3,洪水资料,2020年洪水(8-16),2020-8,表格,2020,excel,high,,技术,,不适用,,,0477e8c299b537e68162a59823a33db6922d49ea4ca54388e15cd7f862339094
06-历年洪水资料/03-2020年洪水(8-16)/防洪报告.doc,ds3,洪水资料,2020年洪水(8-16),2020-8,文本,2020,word,high,,技术,,不适用,,,3b69f30d777c2a73e8750806a2132dba9cbe95e44540ddff17101fd9a0757273
06-历年洪水资料/04-2019年洪水(9-14)/洪水汇报.doc,ds3,洪水资料,2019年洪水(9-14),2019-7,文本,2019,word,high,,技术,,不适用,,,4d3a26b5da4084000b714c3a4c17a67c0ef063ac205615b45ae3f43988075273
06-历年洪水资料/04-2019年洪水(9-14)/洪水统计.xls,ds3,洪水资料,2019年洪水(9-14),2019-7,表格,2019,excel,high,,技术,,不适用,,,2773f4faecd1b722f4028c8a8d8844b7ea4f0655406ccabebb0c5d8fe104144c
06-历年洪水资料/05-2013年洪水(7-22)/7-22防洪报告.doc,ds3,洪水资料,2013年洪水(7-22),2013-7,文本,2013,word,high,,技术,,不适用,,,c0d36cca6e260bd198c3af5f2793a0029054ae4072e6f246967d3a27750691a1
06-历年洪水资料/05-2013年洪水(7-22)/“7.22”洪水汇报终告.doc,ds3,洪水资料,2013年洪水(7-22),2013-7,文本,2013,word,high,,技术,,不适用,,,75d544a14f808a7c9cdf966a326b6a2b6b5f9233fc33095ed1470796aafc5792
06-历年洪水资料/05-2013年洪水(7-22)/“7.29”洪水简讯doc.doc,ds3,洪水资料,2013年洪水(7-22),2013-7,文本,2013,word,high,,技术,,不适用,,,fd5e4367cd38baa053dd9fdeb10bf59dd5b9b58ab8669f3f2f7c4d13e36d2934
06-历年洪水资料/05-2013年洪水(7-22)/洪水过程.xls,ds3,洪水资料,2013年洪水(7-22),2013-7,表格,2013,excel,high,,技术,,不适用,,,2fbdba62b8f3305ef8180093155a1c4b02efc2d9e6c36aa49f45fa8fbb375827
06-历年洪水资料/05-2013年洪水(7-22)/降雨量统计.xls,ds3,洪水资料,2013年洪水(7-22),2013-7,表格,2013,excel,high,,技术,,不适用,,,c0554307bc9eb7d017c78ccbda52b3288b63f13cfe9f96eaaa8c1781a7849675
06-历年洪水资料/06-2008年洪水(8-22)/弃水计算.xls,ds3,洪水资料,2008年洪水(8-22),2008-8,表格,2008,excel,high,,技术,,不适用,,,4d5f4c1e43fbe3f3d7455ba38d9da9a55eab447221c51e41c56cc2855f27ebad
06-历年洪水资料/06-2008年洪水(8-22)/洪水汇报.doc,ds3,洪水资料,2008年洪水(8-22),2008-8,文本,2008,word,high,,技术,,不适用,,,9111ae8531251a1ffe49d1fa5f28c66824d8fcc209ff6d5433c60c5b1177fde1
06-历年洪水资料/06-2008年洪水(8-22)/洪水简报.doc,ds3,洪水资料,2008年洪水(8-22),2008-8,文本,2008,word,high,,技术,,不适用,,,7454ad310532eaf6bb9a09aabd81595ac54cd71fa5088c457a0b743211ffc920
06-历年洪水资料/06-2008年洪水(8-22)/洪水统计.xls,ds3,洪水资料,2008年洪水(8-22),2008-8,表格,2008,excel,high,,技术,,不适用,,,3e9897531bdf48a68fb35f9d608cb1fb5d72281599483807f1192425a45a73e1
06-历年洪水资料/06-2008年洪水(8-22)/降雨量统计.xls,ds3,洪水资料,2008年洪水(8-22),2008-8,表格,2008,excel,high,,技术,,不适用,,,49389287a7b9759436e2657114b16eb256a0ce5e3b7e1fff4203baca32b5d039
06-历年洪水资料/07-其他洪水事件/724-829两场洪水.xls,ds3,洪水资料,其他洪水事件,其他,表格,,excel,high,,技术,,不适用,,,531e2d5633d8622edcbff7779f7ca77ded058df8bd229f3bbfeda12c3a14e088
06-历年洪水资料/08-历年洪水统计/2001年洪水过程线.xls,ds3,洪水资料,历年洪水统计,历年统计,表格,2001,excel,high,,技术,,不适用,,,3e586a7a5b1ef0f952741d484892eba35908c77fd969c24bcc15f958d14c9ec9
06-历年洪水资料/08-历年洪水统计/2010年下泄水量统计.xls,ds3,洪水资料,历年洪水统计,历年统计,表格,2010,excel,high,,技术,,不适用,,,aa93ee7711ef07d24535cea5e1e4c5d836bbb8b9f724b686c79fc924ea8e69d6
06-历年洪水资料/08-历年洪水统计/2011年下泄水量统计.xls,ds3,洪水资料,历年洪水统计,历年统计,表格,2011,excel,high,,技术,,不适用,,,78a5ed788586d0b4aab3c03a64904bc9cff34eaaa2020f0f7905fbde6dac9522
06-历年洪水资料/08-历年洪水统计/TB0207.xls,ds3,洪水资料,历年洪水统计,历年统计,表格,207,excel,high,,技术,,不适用,,,d3d7890eab2ec825f7bf4af7d2a870732150b0c58ed1d33209731ef3aca65039
06-历年洪水资料/08-历年洪水统计/华州区汛情处置汇报.docx,ds3,洪水资料,历年洪水统计,历年统计,文本,,word,high,,技术,,不适用,,,379a13d25a26814cb0bed7a9c1d7836b19609299569722710e49e84835828a59
06-历年洪水资料/08-历年洪水统计/弃水量统计表.xls,ds3,洪水资料,历年洪水统计,历年统计,表格,,excel,high,,技术,,不适用,,,f6d645e8f6fb42a43a08276197c8481807d87ae4cd16163b5ef214fa5bc1a497
06-历年洪水资料/08-历年洪水统计/弃水量统计表（含生态）.xls,ds3,洪水资料,历年洪水统计,历年统计,表格,,excel,high,,技术,,不适用,,,b83836785c1c9e1df8a51bf3e8fbde6761dbc464fb14db0030c2e8a4e5ce0ea9
06-历年洪水资料/08-历年洪水统计/水位库容曲线推求.xls,ds3,洪水资料,历年洪水统计,历年统计,表格,,excel,high,,技术,,不适用,,,796c283acd57324f4fe14783d4ddf46e377696d6796b551e9883b587a522ca68
06-历年洪水资料/08-历年洪水统计/泄洪通知.doc,ds3,洪水资料,历年洪水统计,历年统计,文本,,word,high,,技术,,不适用,,,110351e48a649e3da6493e2c63973a92342a2c6a2e838d1b446d58aebfbdb815
06-历年洪水资料/08-历年洪水统计/泄生态水过程.xls,ds3,洪水资料,历年洪水统计,历年统计,表格,,excel,high,,技术,,不适用,,,c2a45732f7070a854872de89cdd744c69b12c06274d41738fab2d3ad6fd5e5e3
06-历年洪水资料/08-历年洪水统计/洪涝受损统计.xlsx,ds3,洪水资料,历年洪水统计,历年统计,表格,,excel,high,,技术,,不适用,,,bb4c928fa519bbb90b6407582e71dc79abd64ffa5c327082d5b7841578fd8920
06-历年洪水资料/08-历年洪水统计/较大洪水统计表.xls,ds3,洪水资料,历年洪水统计,历年统计,表格,,excel,high,,技术,,不适用,,,77cdfeb6d8c1b1dec7ac7cf113e49d192465954ea3d74a61cf51b2cc15aa3d32
06-历年洪水资料/08-历年洪水统计/防洪减灾统计表.xls,ds3,洪水资料,历年洪水统计,历年统计,表格,,excel,high,,技术,,不适用,,,5bcf128de3b3c0fd1ad48baff144c9cf318ba72b404454b118844813a9720260
07-管理资料/04-设备管理/桃曲坡平台设备管理.xlsx,ds4,组织管理,设备管理,,表格,,excel,high,,管理,,不适用,,,2f8e207f524ab2ba762eba8892ae2afb46310df73f8a52df54b8c6b3b7d21c3a
07-管理资料/05-视频监控/视频监控台账.xlsx,ds4,组织管理,视频监控,,表格,,excel,high,,管理,,不适用,,,640e4c80cfd465ffceb13a7c1c3561d9ded7e3e9c26c37c1071c78e0ce5502e1
07-管理资料/06-工程资料/在建项目资料报送时间跟踪.xlsx,ds4,组织管理,工程资料,,表格,,excel,high,,管理,,不适用,,,3752cc8ed8fdb6dd407303c5349a3d631ceba438ac2f633a3519257524a5f1ba
08-政策文件/政务数据共享需求填报说明.docx,ds4,组织管理,政务数据共享需求填报说明.docx,,文本,,word,high,,管理,,不适用,,,375c04440aeb19e310801fa539b36afe229b8b8cd9ab40b11402465523e45ac8
08-政策文件/水利部关于渭河流域暴雨洪水防御工作的通知.pdf,ds4,组织管理,水利部关于渭河流域暴雨洪水防御工作的通知.pdf,,文本,,pdf,medium,,管理,,不适用,,,39545068cedea1045afe68c9fabe260ea9a597c758ec793bd4af0c4b8cf2e56e
